"yr.eduexp" "meanyr.edu" "edu2F" "edu2.mean" "lifexp" "matermor" "adobirth" "GNI"
"Norway" 17.5 12.6 97.4 97.05 81.6 4 7.8 64992
"Australia" 20.2 13 94.3 94.45 82.4 6 12.1 42261
"Switzerland" 15.8 12.8 95 95.8 83 6 1.9 56431
"Denmark" 18.7 12.7 95.5 96.05 80.2 5 5.1 44025
"Netherlands" 17.9 11.9 87.7 89.1 81.6 6 6.2 45435
"Germany" 16.5 13.1 96.3 96.65 80.9 7 3.8 43919
"Ireland" 18.6 12.2 80.5 79.55 80.9 9 8.2 39568
"United States" 16.5 12.9 95.1 94.95 79.1 28 31 52947
"Canada" 15.9 13 100 100 82 11 14.5 42155
"New Zealand" 19.2 12.5 95 95.15 81.8 8 25.3 32689
"Singapore" 15.4 10.6 74.1 77.55 83 6 6 76628
"Sweden" 15.8 12.1 86.5 86.9 82.2 4 6.5 45636
"United Kingdom" 16.2 13.1 99.8 99.85 80.7 8 25.8 39267
"Iceland" 19 10.6 91 91.3 82.6 4 11.5 35182
"Korea (Republic of)" 16.9 11.9 77 83.05 81.9 27 2.2 33890
"Israel" 16 12.5 84.4 85.85 82.4 2 7.8 30676
"Luxembourg" 13.9 11.7 100 100 81.7 11 8.3 58711
"Japan" 15.3 11.5 87 86.4 83.5 6 5.4 36927
"Belgium" 16.3 11.3 77.5 80.2 80.8 6 6.7 41187
"France" 16 11.1 78 80.6 82.2 12 5.7 38056
"Austria" 15.7 10.8 100 100 81.4 4 4.1 43869
"Finland" 17.1 10.3 100 100 80.8 4 9.2 38695
"Slovenia" 16.8 11.9 95.8 96.9 80.4 7 0.6 27852
"Spain" 17.3 9.6 66.8 69.95 82.6 4 10.6 32045
"Italy" 16 10.1 71.2 75.85 83.1 4 4 33030
"Czech Republic" 16.4 12.3 99.9 99.8 78.6 5 4.9 26660
"Greece" 17.6 10.3 59.5 63.25 80.9 5 11.9 24524
"Estonia" 16.5 12.5 100 100 76.8 11 16.8 25214
"Brunei Darussalam" 14.5 8.8 63.9 65.85 78.8 27 23 72570
"Cyprus" 14 11.6 76 78.85 80.2 10 5.5 28633
"Qatar" 13.8 9.1 66.7 62.85 78.2 6 9.5 123124
"Slovakia" 15.1 12.2 99.1 99.3 76.3 7 15.9 25845
"Poland" 15.5 11.8 79.4 82.45 77.4 3 12.2 23177
"Lithuania" 16.4 12.4 89.1 91.7 73.3 11 10.6 24500
"Malta" 14.4 10.3 68.6 73.4 80.6 9 18.2 27930
"Saudi Arabia" 16.3 8.7 60.5 65.4 74.3 16 10.2 52821
"Argentina" 17.9 9.8 56.3 56.95 76.3 69 54.4 22050
"United Arab Emirates" 13.3 9.5 73.1 67.15 77 8 27.6 60868
"Chile" 15.2 9.8 73.3 74.85 81.7 22 55.3 21290
"Portugal" 16.3 8.2 47.7 47.95 80.9 8 12.6 25757
"Hungary" 15.4 11.6 97.9 98.3 75.2 14 12.1 22916
"Bahrain" 14.4 9.4 56.7 54.05 76.6 22 13.8 38599
"Latvia" 15.2 11.5 98.9 98.95 74.2 13 13.5 22281
"Croatia" 14.8 11 85 89.3 77.3 13 12.7 19409
"Kuwait" 14.7 7.2 55.6 55.95 74.4 14 14.5 83961
"Montenegro" 15.2 11.2 84.2 89.45 76.2 7 15.2 14558
"Belarus" 15.7 12 87 89.6 71.3 1 20.6 16676
"Russian Federation" 14.7 12 89.6 91.05 70.1 24 25.7 22352
"Oman" 13.6 8 47.2 52.15 76.8 11 10.6 34858
"Romania" 14.2 10.8 86.1 89.05 74.7 33 31 18108
"Uruguay" 15.5 8.5 54.4 52.35 77.2 14 58.3 19283
"Bahamas" 12.6 10.9 91.2 89.4 75.4 37 28.5 21336
"Kazakhstan" 15 11.4 95.3 97.05 69.4 26 29.9 20867
"Barbados" 15.4 10.5 89.5 88.6 75.6 52 48.4 12488
"Bulgaria" 14.4 10.6 93 94.35 74.2 5 35.9 15596
"Panama" 13.3 9.3 54 51.95 77.6 85 78.5 18192
"Malaysia" 12.7 10 65.1 68.2 74.7 29 5.7 22762
"Mauritius" 15.6 8.5 49.4 53.7 74.4 73 30.9 17470
"Trinidad and Tobago" 12.3 10.9 59.7 60.3 70.4 84 34.8 26090
"Serbia" 14.4 10.5 58.4 66 74.9 16 16.9 12190
"Cuba" 13.8 11.5 74.3 76.55 79.4 80 43.1 7301
"Lebanon" 13.8 7.9 53 54.2 79.3 16 12 16509
"Costa Rica" 13.9 8.4 50.7 50.6 79.4 38 60.8 13413
"Iran (Islamic Republic of)" 15.1 8.2 62.2 64.9 75.4 23 31.6 15440
"Venezuela (Bolivarian Republic of)" 14.2 8.9 56.6 53.7 74.2 110 83.2 16159
"Turkey" 14.5 7.6 39 49.5 75.3 20 30.9 18677
"Sri Lanka" 13.7 10.8 72.7 74.55 74.9 29 16.9 9779
"Mexico" 13.1 8.5 55.7 58.15 76.8 49 63.4 16056
"Brazil" 15.2 7.7 54.6 53.5 74.5 69 70.8 15175
"Georgia" 13.8 12.1 89.7 91.2 74.9 41 46.8 7164
"Azerbaijan" 11.9 11.2 93.7 95.55 70.8 26 40 16428
"Jordan" 13.5 9.9 69.5 74 74 50 26.5 11365
